prod_name,category,Price,webiste
"Heartstopper, Volume 2",book,12.99,barnes
"Heartstopper, Volume 1",book,12.99,barnes
The Mothers and Daughters of the Bible Speak: Lessons on Faith from Nine Biblical Families,book,19.99,barnes
Book Lovers,book,14.99,barnes
Knight Owl,book,14.99,barnes
Fifty Shades Freed 10th Anniversary Edition,book,31.99,barnes
"This Will Not Pass: Trump, Biden, and the Battle for America's Future",book,24.99,barnes
Finding Me,book,22.99,barnes
Happy Dreamer,book,5,barnes
It Starts with Us: A Novel,book,13.99,barnes
The Seven Husbands of Evelyn Hugo: A Novel,book,12.99,barnes
It Ends with Us,book,12.99,barnes
22 Seconds,book,19.99,barnes
Killing the Killers: The Secret War Against Terrorists,book,20.99,barnes
Lightlark,book,16.99,barnes
"Oh, the Places You'll Go!",book,17.99,barnes
"Spy x Family, Vol. 3",book,9.99,barnes
"Jujutsu Kaisen, Vol. 7",book,9.99,barnes
Just Tyrus: A Memoir,book,23.49,barnes
"Run, Rose, Run : A Novel",book,20.99,barnes
"Spy x Family, Vol. 4",book,9.99,barnes
